issue,predicted_label
My tablet Bluetooth stops working while using multiple apps.,Software issue
The charging port on my phone fails randomly.,Hardware issue
The charging port on my tablet works intermittently.,Hardware issue
My laptop dies unexpectedly during normal use.,Battery degradation
My tablet was dropped down stairs and random shutdowns started occurring.,Water/Liquid damage
My phone settings reset automatically while charging.,Software issue
The brightness changes automatically while charging.,Unknown
My smartwatch was dropped down stairs and internal components failed.,Water/Liquid damage
The charging port on my phone is not detected.,Hardware issue
The brightness changes automatically during gaming.,Unknown
My tablet does not hold a charge while gaming.,Battery degradation
My phone was dropped down stairs and charging no longer works.,Water/Liquid damage
The ghost touches occur after replacing the screen.,Software issue
My laptop operating system fails to boot when connected to the internet.,Software issue
My phone loses charge overnight during standby.,Battery degradation
My tablet does not hold a charge while gaming.,Battery degradation
My smartwatch drains quickly while gaming.,Battery degradation
My tablet takes too long to charge while gaming.,Battery degradation
The power button on my tablet malfunctions during use.,Hardware issue
The brightness changes automatically when using social media.,Unknown
The motherboard on my smartwatch disconnects frequently.,Hardware issue
The display shows distorted colors during gaming.,Cracked screen
My phone was exposed to beach sand and the touchscreen stopped working.,Hardware issue
My tablet was left inside a hot car and no longer turns on.,Water/Liquid damage
My tablet software update failed during startup.,Software issue
My laptop was dropped on concrete and internal components failed.,Water/Liquid damage
The brightness changes automatically when using social media.,Unknown
The screen flickers during gaming.,Cracked screen
My tablet system freezes randomly while using multiple apps.,Software issue
My phone software update failed while using multiple apps.,Software issue
My tablet apps keep crashing during startup.,Unknown
The ghost touches occur during gaming.,Software issue
My phone dies unexpectedly during normal use.,Battery degradation
The speaker on my phone shows signs of failure.,Hardware issue
The display shows distorted colors while charging.,Cracked screen
My smartwatch software update failed during startup.,Software issue
My tablet system freezes randomly during file transfers.,Software issue
The charging port on my tablet fails randomly.,Hardware issue
The keyboard on my phone stopped working.,Hardware issue
The ghost touches occur during video playback.,Software issue
My laptop system freezes randomly when connected to the internet.,Software issue
The speaker on my laptop fails randomly.,Hardware issue
The screen goes black randomly throughout the day.,Cracked screen
My laptop was crushed inside a bag and the touchscreen stopped working.,Hardware issue
The screen freezes when exposed to sunlight.,Software issue
The touchscreen is unresponsive when exposed to sunlight.,Software issue
The dead pixels appeared during video playback.,Cracked screen
My smartwatch WiFi disconnects frequently when connected to the internet.,Software issue
My tablet was hit during a vehicle accident and several buttons stopped responding.,Unknown
My tablet system freezes randomly after installing new software.,Software issue
The display shows vertical lines during video playback.,Cracked screen
The brightness changes automatically when exposed to sunlight.,Software issue
My smartwatch software update failed when opening settings.,Software issue
My tablet was left inside a hot car and the touchscreen stopped working.,Hardware issue
My tablet loses charge overnight while watching videos.,Battery degradation
My smartwatch was dropped down stairs and the battery started overheating.,Battery degradation
The microphone on my phone works intermittently.,Hardware issue
My tablet was left inside a hot car and the battery started overheating.,Battery degradation
The power button on my tablet is physically damaged.,Hardware issue
My laptop software update failed while using multiple apps.,Software issue
My smartwatch system freezes randomly after updating.,Software issue
My tablet operating system fails to boot when connected to the internet.,Software issue
The charging port on my laptop produces unusual behavior.,Hardware issue
The motherboard on my tablet shows signs of failure.,Hardware issue
The display shows distorted colors during video playback.,Cracked screen
My phone discharges while idle during standby.,Battery degradation
My laptop drains quickly during video calls.,Battery degradation
My tablet settings reset automatically during file transfers.,Software issue
The speaker on my smartwatch disconnects frequently.,Hardware issue
My phone loses charge overnight during normal use.,Battery degradation
My laptop was dropped down stairs and charging no longer works.,Water/Liquid damage
My phone was dropped down stairs and the screen shattered.,Cracked screen
My tablet was left inside a hot car and the speaker became distorted.,Hardware issue
The ghost touches occur when exposed to sunlight.,Software issue
My tablet does not hold a charge while gaming.,Battery degradation
My tablet was dropped on concrete and the display became damaged.,Cracked screen
The USB port on my phone fails randomly.,Hardware issue
The keyboard on my tablet stopped working.,Hardware issue
The power button on my smartwatch is not detected.,Hardware issue
The keyboard on my laptop produces unusual behavior.,Hardware issue
My laptop was exposed to heavy rain and the battery started overheating.,Battery degradation
My tablet loses battery health rapidly after a software update.,Battery degradation
My tablet does not hold a charge during standby.,Battery degradation
The keyboard on my phone disconnects frequently.,Hardware issue
My phone Bluetooth stops working after rebooting.,Software issue
The ghost touches occur after replacing the screen.,Software issue
My phone software update failed when opening settings.,Software issue
My laptop loses charge overnight when using GPS.,Battery degradation
My tablet settings reset automatically when connected to the internet.,Software issue
My tablet fell into water and random shutdowns started occurring.,Water/Liquid damage
My tablet system freezes randomly during startup.,Software issue
The brightness changes automatically after a drop.,Unknown
The ghost touches occur after a drop.,Software issue
My tablet was hit during a vehicle accident and the screen shattered.,Cracked screen
The display shows vertical lines during video playback.,Cracked screen
The display shows vertical lines after a drop.,Cracked screen
The speaker on my laptop fails randomly.,Hardware issue
The screen flickers after a drop.,Cracked screen
My smartwatch takes too long to charge after a software update.,Battery degradation
My laptop takes too long to charge when using GPS.,Battery degradation
My tablet Bluetooth stops working while using multiple apps.,Software issue
My tablet fell into water and several buttons stopped responding.,Water/Liquid damage
My laptop fell into water and internal components failed.,Water/Liquid damage
My smartwatch discharges while idle during online meetings.,Battery degradation
The camera on my tablet fails randomly.,Hardware issue
The keyboard on my phone works intermittently.,Hardware issue
The screen cracked after replacing the screen.,Cracked screen
My laptop was crushed inside a bag and the speaker became distorted.,Hardware issue
My tablet device restarts unexpectedly while charging.,Software issue
The display shows vertical lines when exposed to sunlight.,Software issue
My smartwatch dies unexpectedly during video calls.,Battery degradation
My smartwatch was dropped down stairs and the battery started overheating.,Battery degradation
My phone dies unexpectedly during video calls.,Battery degradation
My phone drains quickly while charging.,Battery degradation
The speaker on my smartwatch fails randomly.,Hardware issue
The screen flickers randomly throughout the day.,Cracked screen
My laptop drops from full charge within hours during standby.,Battery degradation
My tablet loses charge overnight during normal use.,Battery degradation
My laptop drains quickly when connected to WiFi.,Battery degradation
My tablet was exposed to heavy rain and internal components failed.,Software issue
The charging port on my laptop became unresponsive.,Hardware issue
My laptop was left inside a hot car and charging no longer works.,Water/Liquid damage
My phone was left inside a hot car and the touchscreen stopped working.,Hardware issue
My smartwatch Bluetooth stops working after installing new software.,Software issue
The screen cracked randomly throughout the day.,Cracked screen
The screen cracked after replacing the screen.,Cracked screen
The keyboard on my phone is physically damaged.,Hardware issue
My tablet system freezes randomly after rebooting.,Software issue
The speaker on my phone became unresponsive.,Hardware issue
My phone discharges while idle during video calls.,Battery degradation
The screen cracked when exposed to sunlight.,Software issue
The touchscreen is unresponsive during gaming.,Cracked screen
My tablet drops from full charge within hours while charging.,Battery degradation
My smartwatch Bluetooth stops working after updating.,Software issue
My laptop operating system fails to boot during startup.,Software issue
My smartwatch was dropped on concrete and several buttons stopped responding.,Water/Liquid damage
My smartwatch system freezes randomly during startup.,Software issue
My phone fell into water and several buttons stopped responding.,Water/Liquid damage
The display shows distorted colors when using social media.,Cracked screen
The charging port on my laptop became unresponsive.,Hardware issue
The keyboard on my laptop works intermittently.,Hardware issue
My tablet device restarts unexpectedly after rebooting.,Software issue
My laptop was exposed to beach sand and no longer turns on.,Software issue
My laptop had coffee spilled on it and the touchscreen stopped working.,Hardware issue
My phone gets hot while charging while watching videos.,Battery degradation
My smartwatch was dropped down stairs and charging no longer works.,Water/Liquid damage
My tablet device enters a boot loop after updating.,Software issue
My tablet software update failed during startup.,Software issue
My phone was exposed to beach sand and internal components failed.,Software issue
My laptop screen freezes after rebooting.,Software issue
My tablet software update failed after updating.,Software issue
My phone gets hot while charging when connected to WiFi.,Battery degradation
The power button on my tablet is physically damaged.,Hardware issue
My tablet was exposed to beach sand and several buttons stopped responding.,Software issue
The screen goes black during normal use.,Cracked screen
My laptop drains quickly after a software update.,Battery degradation
My smartwatch was dropped down stairs and internal components failed.,Water/Liquid damage
My tablet does not hold a charge during online meetings.,Battery degradation
My laptop dies unexpectedly while watching videos.,Battery degradation
My tablet powers off suddenly after a software update.,Software issue
The ghost touches occur when using social media.,Software issue
The USB port on my tablet produces unusual behavior.,Hardware issue
My smartwatch settings reset automatically during startup.,Software issue
The screen flickers randomly throughout the day.,Cracked screen
The screen flickers when using social media.,Cracked screen
The trackpad on my smartwatch produces unusual behavior.,Hardware issue
The microphone on my smartwatch shows signs of failure.,Hardware issue
My laptop operating system fails to boot during file transfers.,Software issue
My phone loses charge overnight while charging.,Battery degradation
The dead pixels appeared after a drop.,Cracked screen
The display shows vertical lines randomly throughout the day.,Cracked screen
My laptop was dropped down stairs and the display became damaged.,Cracked screen
My phone powers off suddenly when connected to WiFi.,Unknown
My laptop was exposed to beach sand and internal components failed.,Software issue
My smartwatch takes too long to charge when using GPS.,Battery degradation
My smartwatch drops from full charge within hours during standby.,Battery degradation
My phone was exposed to heavy rain and the display became damaged.,Software issue
The display shows vertical lines when exposed to sunlight.,Software issue
My tablet was crushed inside a bag and charging no longer works.,Water/Liquid damage
My smartwatch device restarts unexpectedly after updating.,Software issue
The keyboard on my phone is physically damaged.,Hardware issue
My phone does not hold a charge during standby.,Battery degradation
The display shows vertical lines when exposed to sunlight.,Software issue
My phone takes too long to charge when using GPS.,Battery degradation
My laptop had coffee spilled on it and the battery started overheating.,Battery degradation
My tablet Bluetooth stops working during normal operation.,Software issue
The camera on my phone shows signs of failure.,Hardware issue
My laptop drains quickly during normal use.,Battery degradation
The dead pixels appeared randomly throughout the day.,Cracked screen
My tablet device restarts unexpectedly after updating.,Software issue
My tablet fell from a table and the screen shattered.,Cracked screen
The screen freezes while charging.,Software issue
The camera on my smartwatch disconnects frequently.,Hardware issue
The brightness changes automatically after replacing the screen.,Cracked screen
My phone operating system fails to boot after installing new software.,Software issue
My tablet drops from full charge within hours when using GPS.,Battery degradation
The speaker on my tablet shows signs of failure.,Hardware issue
The display shows vertical lines during video playback.,Cracked screen
My smartwatch settings reset automatically while using multiple apps.,Software issue
The screen freezes during normal use.,Software issue
My laptop gets hot while charging during standby.,Battery degradation
My smartwatch drops from full charge within hours during standby.,Battery degradation
My phone powers off suddenly when connected to WiFi.,Unknown
The screen flickers after an update.,Cracked screen
The touchscreen is unresponsive while charging.,Cracked screen
My smartwatch does not hold a charge while gaming.,Battery degradation
My smartwatch was exposed to heavy rain and the touchscreen stopped working.,Hardware issue
The display shows distorted colors after a drop.,Cracked screen
My phone was exposed to heavy rain and internal components failed.,Software issue
The touchscreen is unresponsive after an update.,Cracked screen
The dead pixels appeared after replacing the screen.,Cracked screen
The speaker on my tablet stopped working.,Hardware issue
The power button on my smartwatch is not detected.,Hardware issue
My laptop discharges while idle during standby.,Battery degradation
My phone operating system fails to boot during normal operation.,Software issue
My laptop was crushed inside a bag and the display became damaged.,Cracked screen
The speaker on my smartwatch works intermittently.,Hardware issue
My laptop was dropped on concrete and the touchscreen stopped working.,Hardware issue
The dead pixels appeared after an update.,Cracked screen
My phone was exposed to beach sand and internal components failed.,Software issue
The brightness changes automatically during video playback.,Unknown
My smartwatch device enters a boot loop during file transfers.,Software issue
My phone loses battery health rapidly during normal use.,Battery degradation
My tablet loses battery health rapidly while charging.,Battery degradation
My tablet device enters a boot loop during normal operation.,Software issue
The USB port on my phone malfunctions during use.,Hardware issue
My tablet Bluetooth stops working during file transfers.,Software issue
My smartwatch device enters a boot loop after updating.,Software issue
My phone does not hold a charge during online meetings.,Battery degradation
My phone device restarts unexpectedly while charging.,Software issue
The display shows vertical lines after an update.,Cracked screen
My smartwatch had coffee spilled on it and random shutdowns started occurring.,Water/Liquid damage
My laptop operating system fails to boot after updating.,Software issue
The dead pixels appeared during normal use.,Cracked screen
My phone drains quickly during normal use.,Battery degradation
My laptop loses battery health rapidly while charging.,Battery degradation
My smartwatch device enters a boot loop after rebooting.,Software issue
The touchscreen is unresponsive when exposed to sunlight.,Software issue
My phone discharges while idle while watching videos.,Battery degradation
My smartwatch settings reset automatically after updating.,Software issue
The dead pixels appeared randomly throughout the day.,Cracked screen
My phone was dropped on concrete and the touchscreen stopped working.,Hardware issue
My phone device restarts unexpectedly when connected to the internet.,Software issue
My smartwatch drains quickly when using GPS.,Battery degradation
My phone was left inside a hot car and charging no longer works.,Water/Liquid damage
My phone Bluetooth stops working while using multiple apps.,Software issue
The display shows distorted colors when using social media.,Cracked screen
My phone gets hot while charging after a software update.,Battery degradation
My smartwatch was dropped down stairs and the battery started overheating.,Battery degradation
The screen goes black during normal use.,Cracked screen
The trackpad on my phone works intermittently.,Hardware issue
My tablet software update failed after installing new software.,Software issue
My laptop dies unexpectedly when connected to WiFi.,Battery degradation
My tablet settings reset automatically while using multiple apps.,Software issue
The speaker on my tablet works intermittently.,Hardware issue
My laptop was left inside a hot car and the touchscreen stopped working.,Hardware issue
The dead pixels appeared after replacing the screen.,Cracked screen
The power button on my phone became unresponsive.,Hardware issue
My smartwatch was exposed to beach sand and no longer turns on.,Software issue
My tablet operating system fails to boot during normal operation.,Software issue
My tablet screen freezes while using multiple apps.,Software issue
The trackpad on my smartwatch shows signs of failure.,Hardware issue
My tablet loses charge overnight while gaming.,Battery degradation
My tablet gets hot while charging during normal use.,Battery degradation
The dead pixels appeared during gaming.,Cracked screen
The display shows vertical lines randomly throughout the day.,Cracked screen
My tablet Bluetooth stops working during startup.,Software issue
The USB port on my smartwatch malfunctions during use.,Hardware issue
My smartwatch system freezes randomly during file transfers.,Software issue
My phone discharges while idle during normal use.,Battery degradation
My smartwatch fell into water and the battery started overheating.,Battery degradation
My tablet system freezes randomly during startup.,Software issue
My tablet apps keep crashing during normal operation.,Unknown
My tablet system freezes randomly when opening settings.,Software issue
The trackpad on my tablet is not detected.,Hardware issue
My tablet fell from a table and no longer turns on.,Unknown
My tablet drains quickly while charging.,Battery degradation
My laptop had coffee spilled on it and charging no longer works.,Water/Liquid damage
My smartwatch fell from a table and the speaker became distorted.,Hardware issue
My phone settings reset automatically during startup.,Software issue
My tablet device restarts unexpectedly after installing new software.,Software issue
My laptop gets hot while charging during normal use.,Battery degradation
My smartwatch system freezes randomly after rebooting.,Software issue
My smartwatch dies unexpectedly when connected to WiFi.,Battery degradation
My laptop was crushed inside a bag and the display became damaged.,Cracked screen
The dead pixels appeared when exposed to sunlight.,Software issue
My smartwatch was exposed to beach sand and no longer turns on.,Software issue
The dead pixels appeared after replacing the screen.,Cracked screen
My phone Bluetooth stops working during file transfers.,Software issue
My laptop settings reset automatically after rebooting.,Software issue
The screen cracked after a drop.,Cracked screen
My laptop settings reset automatically after updating.,Software issue
My tablet fell into water and the display became damaged.,Cracked screen
My laptop was left inside a hot car and the display became damaged.,Cracked screen
The dead pixels appeared when using social media.,Cracked screen
My smartwatch apps keep crashing after updating.,Unknown
The keyboard on my smartwatch stopped working.,Hardware issue
The dead pixels appeared when using social media.,Cracked screen
The USB port on my laptop fails randomly.,Hardware issue
My laptop fell from a table and the battery started overheating.,Battery degradation
The screen goes black after replacing the screen.,Cracked screen
The screen freezes after an update.,Software issue
My phone takes too long to charge during standby.,Battery degradation
The dead pixels appeared when exposed to sunlight.,Software issue
My tablet settings reset automatically when connected to the internet.,Software issue
My smartwatch device restarts unexpectedly during normal operation.,Software issue
The keyboard on my smartwatch became unresponsive.,Hardware issue
My tablet was left inside a hot car and the display became damaged.,Cracked screen
My phone device enters a boot loop after rebooting.,Software issue
My smartwatch fell from a table and the touchscreen stopped working.,Hardware issue
The microphone on my smartwatch produces unusual behavior.,Hardware issue
The dead pixels appeared randomly throughout the day.,Cracked screen
My phone settings reset automatically during startup.,Software issue
The screen freezes when using social media.,Software issue
My laptop was crushed inside a bag and no longer turns on.,Water/Liquid damage
My laptop system freezes randomly while using multiple apps.,Software issue
My tablet had coffee spilled on it and the battery started overheating.,Battery degradation
My smartwatch was exposed to beach sand and random shutdowns started occurring.,Software issue
My laptop takes too long to charge when connected to WiFi.,Battery degradation
My smartwatch gets hot while charging while watching videos.,Battery degradation
The charging port on my laptop works intermittently.,Hardware issue
The display shows distorted colors after a drop.,Cracked screen
The keyboard on my laptop works intermittently.,Hardware issue
The ghost touches occur after an update.,Software issue
The ghost touches occur during video playback.,Software issue
The fingerprint sensor on my laptop works intermittently.,Hardware issue
